id,text,braille_brf
lu_0159,shilly-shally,%illy-%ally
lu_0160,standstill,/&/ill
lu_0161,thistle,?i/le
lu_0162,whichever,":i*""e"
lu_0163,this/that,?is_/?at
lu_0164,Stillson wrench,",/illson wr5*"
lu_0165,www.universalchildcare.ca,www4univ}sal*ildc>e4ca
lu_0166,this'd,?'d
lu_0167,which'll,:'ll
lu_0168,still's,/'s
lu_0169,which've,:'ve
lu_0170,Julia Child's recipe,",julia ,*'s recipe"
lu_0171,this'n,?is'n
lu_0172,andante,&ante
lu_0173,England,",5gl&"
lu_0174,grandad,gr&ad
lu_0175,grandmother,"gr&""m"
lu_0176,meander,me&}
lu_0177,merchandise,m}*&ise
lu_0178,pandemic,p&emic
lu_0179,pandowdy,p&{dy
lu_0180,afford,af=d
lu_0181,comfort,com=t
lu_0182,forgo,=go
lu_0183,Fortran,",=tran"
lu_0184,Pforzheimer,",p=zheim}"
lu_0185,pianoforte,piano=te
lu_0186,coffee,c(fee
lu_0187,Geoffrey,",ge(frey"
lu_0188,lofty,l(ty
lu_0189,often,(t5
lu_0190,profane,pr(ane
lu_0191,roof,ro(
lu_0192,sofa,s(a
lu_0193,tofu,t(u
lu_0194,whereof,""":("
lu_0195,Athens,",a!ns"
lu_0196,bathed,ba!d
lu_0197,bother,bo!r
lu_0198,Esther,",es!r"
lu_0199,furthest,fur!/
lu_0200,nevertheless,"n""e!.s"
lu_0201,scythe,scy!
lu_0202,thee,!e
lu_0203,Matthew,",mat!w"
lu_0204,Parthenon,",p>!non"
lu_0205,theatre,!atre
lu_0206,Theresa,",!resa"
lu_0207,forthwith,=?)
lu_0208,withe,)e
lu_0209,Swithin,",s)9"
lu_0210,without,)|t
lu_0211,with a knowledge of and respect for the rules,) a k ( & respect = ! rules
lu_0212,Thelma's roof will withstand the force of the wind and/or the rain.,",!lma's ro( w )/& ! =ce ( ! w9d &_/or ! ra94"
lu_0213,Andy Vandyke proofread the profile.,",&y ,v&yke pro(r1d ! pr(ile4"
lu_0214,out-of-the-way,|-(-!-way
lu_0215,chifforobe,*i6orobe
lu_0216,twofold,twofold
lu_0217,insofar,9sof>
lu_0218,biofeedback,biofe$back
lu_0219,microfilm,microfilm
lu_0220,apartheid,"a""pheid"
lu_0221,northeast,nor?1/
lu_0222,thence,?;e
lu_0223,sweetheart,sweethe>t
lu_0224,Sontheimer,",sontheim}"
lu_0225,aerial,a}ial
lu_0226,aghast,a<a/
lu_0227,anteroom,ant}oom
lu_0228,argh!,><6
lu_0229,bear,be>
lu_0230,boredom,bor$om
lu_0231,brougham,br|<am
lu_0232,cheddar,*$d>
lu_0233,cherished,*}i%$
lu_0234,cough,c|<
lu_0235,coupon,c|pon
lu_0236,cringed,cr+$
lu_0237,derailed,d}ail$
lu_0238,dingy,d+y
lu_0239,dough,d|<
lu_0240,Edith,",$i?"
lu_0241,e'er,e'}
lu_0242,erase,}ase
lu_0243,Erie,",}ie"
lu_0244,error,}ror
lu_0245,freedom,fre$om
lu_0246,ginger,g+}
lu_0247,gingham,g+ham
lu_0248,Goering,",go}+"
lu_0249,hierarchy,hi}>*y
lu_0250,laugh,lau<
lu_0251,lingerie,l+}ie
lu_0252,lowdown,l{d{n
lu_0253,malediction,mal$ic;n
lu_0254,meningitis,m5+itis
lu_0255,merchandising,m}*&is+
lu_0256,meringue,m}+ue
lu_0257,mistake,mi/ake
lu_0258,monowheel,mono:eel
lu_0259,nightingale,ni<t+ale
lu_0260,oedema,o$ema
lu_0261,'ounds,'|nds
lu_0262,"""Ow!""","8,{60"
lu_0263,(par),"""<p>"">"
lu_0264,predated,pr$at$
lu_0265,psst,ps/
lu_0266,redistribute,r$i/ribute
lu_0267,reroute,r}|te
lu_0268,riflery,rifl}y
lu_0269,sheer,%e}
lu_0270,Singh,",s+h"
lu_0271,sou'east,s|'ea/
lu_0272,'struth,'/ru?
lu_0273,Thomas,",?omas"
lu_0274,thorough,?or|<
lu_0275,thou,?|
lu_0276,toward,t{>d
lu_0277,trebled,trebl$
lu_0278,wharf,:>f
lu_0279,whistle,:i/le
lu_0280,xxist,xxi/
lu_0281,ædile,a~6edile
lu_0282,anthill,anthill
lu_0283,blessèd,b.s~*ed
lu_0284,deshabille,deshabille
lu_0285,foghorn,foghorn
lu_0286,kilowatt,kilowatt
lu_0287,noway,noway
lu_0288,painstaking,pa9stak+
lu_0289,parenthood,p>5thood
lu_0290,rawhide,rawhide
lu_0291,shanghai,%anghai
lu_0292,Stalingrad,",/al9grad"
lu_0293,viceregal,viceregal
lu_0294,St Stephen,",st ,/eph5"
lu_0295,ch-ch-chilly,ch-ch-*illy
lu_0296,Shhh!,",%hh6"
lu_0297,th'n,?'n
lu_0298,Ste Anne,",/e ,anne"
lu_0299,finger,f+}
lu_0300,ginger,g+}
lu_0301,singe,s+e
lu_0302,singeing,s+e+
lu_0303,sting,/+
lu_0304,stinging,/++
lu_0305,brown(ing),"br{n""<+"">"
lu_0306,SmithInge,",smi?,+e"
lu_0307,Ch'ing Dynasty,",*'+ ,dyna/y"
lu_0308,ingot,9got
lu_0309,Ingoldsby,",9goldsby"
lu_0310,ingredients,9gr$i5ts
lu_0311,ingrown,9gr{n
lu_0312,to-ing and fro-ing,to-9g & fro-9g
lu_0313,Smith–Inge,",smi?,-,9ge"
lu_0314,to be,to 2
lu_0315,his car,8 c>
lu_0316,Be good.,",2 gd4"
lu_0317,HIS DOG,",,8 ,,dog"
lu_0318,BE ALL THAT YOU CAN BE,",,,2 all t y c 2,'"
lu_0319,at my (not his) house,"at my ""<n 8""> h|se"
lu_0320,He is [was]; they are [were].,",he is .<0.>2 !y >e .<7.>4"
lu_0321,(Were there many?),"""<,7 ""! _m8"">"
lu_0322,his/her,his_/h}
lu_0323,What will you be?,",:at w y be8"
lu_0324,would-be actor,wd-be actor
lu_0325,his-and-hers towels,his-&-h}s t{els
lu_0326,That were–I mean was–mine.,",t w}e,-,i m1n was,-m9e4"
lu_0327,"""Be safe.""","8,be safe40"
lu_0328,it was enough,x 0 5
lu_0329,GIVE MORE THAN ENOUGH,",,,give m ?an 5,'"
lu_0330,Buy meat (enough for 2).,",buy m1t ""<5 = #b"">4"
lu_0331,Enough's happened.,",5's happ5$4"
lu_0332,Mum's had-enough mood,",mum's _h-5 mood"
lu_0333,www.enoughforall.org,www45|<=all4org
lu_0334,enough/sufficient,5|<_/su6ici5t
lu_0335,not in here,"n 9 ""h"
lu_0336,In or out?,",9 or |8"
lu_0337,GO ALL IN,",,,g all 9,'"
lu_0338,in't,9't
lu_0339,mother-in-law,"""m-9-law"
lu_0340,listen-in,li/5-9
lu_0341,Listen!—In this case …,",li/56,-,9 ? case 444"
lu_0342,"""teach-in""",8t1*-90
lu_0343,IN-DEPTH,",,9-,,dep?"
lu_0344,"(""In no way."")","""<8,9 no way40"">"
lu_0345,<in file>,`<9 file`>
lu_0346,in/out,9_/|t
lu_0347,"Come in, stay in.",",come in1 /ay in4"
lu_0348,"""In any case""","8,in any case0"
lu_0349,It was enough–more than enough.,",x 0 5,-m ?an 5|<4"
lu_0350,We had enough–5.,",we _h 5,-#e4"
lu_0351,Take enough.,",take 5|<4"
lu_0352,beatitude,2atitude
lu_0353,Beatrice,",2atrice"
lu_0354,become,2come
lu_0355,begonia,2gonia
lu_0356,behemoth,2hemo?
lu_0357,being,2+
lu_0358,beneficent,2nefic5t
lu_0359,beta,2ta
lu_0360,first-begotten,f/-2gott5
lu_0361,air-conditioned,air-3di;n$
lu_0362,concept,3cept
lu_0363,congress,3gress
lu_0364,control,3trol
lu_0365,re-connect,re-3nect
lu_0366,disaster,4a/}
lu_0367,disco,4co
lu_0368,dishonest,"4h""o/"
lu_0369,dislike,4like
lu_0370,dissect,4sect
lu_0371,distance,4t.e
lu_0372,self-discipline,self-4cipl9e
lu_0373,beckon,beckon
lu_0374,been,be5
lu_0375,belligerent,bellig}5t
lu_0376,benefit,b5efit
lu_0377,best,be/
lu_0378,bethel,be!l
lu_0379,better,bett}
lu_0380,unbecoming,unbecom+
lu_0381,conch,con*
lu_0382,cone,"c""o"
lu_0383,coneys,"c""oys"
lu_0384,inconvenient,9conv5i5t
lu_0385,disc,disc
lu_0386,dish,di%
lu_0387,dishevel,di%evel
lu_0388,dispirited,di_s$
lu_0389,disulphide,disulphide
lu_0390,indistinct,9di/9ct
lu_0391,"""Belinda!""","8,2l9da60"
lu_0392,'display will minimise','4play w m9imise'
lu_0393,concave/convex,3cave_/convex
lu_0394,McConnell,",mc,connell"
lu_0395,O'Connor,",o',connor"
lu_0396,MetroDisco,",metro,disco"
lu_0397,be'ave,be'ave
lu_0398,be-stow,be-/{
lu_0399,[be]hold,.<be.>hold
lu_0400,con(vey),"con""<vey"">"
lu_0401,dis'armony,dis'>mony
lu_0402,BeLinda,",be,l9da"
lu_0403,conCUR,"con,,cur"
lu_0404,DisCORD,",dis,,cord"
lu_0405,DISlike,",,dis,'like"
lu_0406,Conn.,",3n4"
lu_0407,cont,3t
lu_0408,dist.,4t4
lu_0409,Belg,",belg"
lu_0410,Con.,",con4"
lu_0411,abbé,a2~/e
lu_0412,accept,a3ept
lu_0413,account,a3.t
lu_0414,acreage,acr1ge
lu_0415,affirm,a6irm
lu_0416,aggressive,a7ressive
lu_0417,agreeable,agre1ble
lu_0418,areas,>1s
lu_0419,arpeggio,>pe7io
lu_0420,baccalaureate,ba3alaur1te
lu_0421,beat,b1t
lu_0422,begging,be7+
lu_0423,borealis,bor1lis
lu_0424,bubble,bu2le
lu_0425,bureau,bur1u
lu_0426,Caribbean,",c>i21n"
lu_0427,caveat,cav1t
lu_0428,create,cr1te
lu_0429,creation,cr1;n
lu_0430,disease,41se
lu_0431,doggone,"do7""o"
lu_0432,eggnog,e7nog
lu_0433,epicurean,epicur1n
lu_0434,flaccid,fla3id
lu_0435,genealogy,g51logy
lu_0436,Hanseatic,",hans1tic"
lu_0437,head,h1d
lu_0438,Judaean,",juda1n"
lu_0439,likeable,lik1ble
lu_0440,Liliaceae,",liliac1e"
lu_0441,lineage,l91ge
lu_0442,mecca,me3a
lu_0443,Minneapolis,",m9n1polis"
lu_0444,Montreal,",montr1l"
lu_0445,motheaten,mo?1t5
lu_0446,muffin,mu69
lu_0447,Neapolitan,",n1politan"
lu_0448,northeast,nor?1/
lu_0449,occupy,o3upy
lu_0450,oceanic,oc1nic
lu_0451,oleaginous,ol1g9|s
lu_0452,orgeat,org1t
lu_0453,paean,pa1n
lu_0454,pancreas,pancr1s
lu_0455,peaceable,p1c1ble
lu_0456,peanut,p1nut
lu_0457,rabbi,ra2i
lu_0458,really,r1lly
lu_0459,réchauffé,r~/e*au6~/e
lu_0460,Seamus,",s1mus"
lu_0461,Sean,",s1n"
lu_0462,seashore,s1%ore
lu_0463,Seattle,",s1ttle"
lu_0464,Sheffield,",%e6ield"
lu_0465,sheriffs,%}i6s
lu_0466,speakeasy,sp1k1sy
lu_0467,tableau,tabl1u
lu_0468,tobacco,toba3o
lu_0469,toreador,tor1dor
lu_0470,Yeats,",y1ts"
lu_0471,afford,af=d
lu_0472,appear,appe>
lu_0473,arccosine,>ccos9e
lu_0474,bacchanal,bac*anal
lu_0475,bear,be>
lu_0476,beatitude,2atitude
lu_0477,Beatrice,",2atrice"
lu_0478,cinéaste,c9~/ea/e
lu_0479,coffee,c(fee
lu_0480,dumbbell,dumbbell
lu_0481,'ead,'ead
lu_0482,east,ea/
lu_0483,ebb-tide,ebb-tide
lu_0484,hideaway,hideaway
lu_0485,idea(s),"idea""<s"">"
lu_0486,Leander,",le&}"
lu_0487,limeade,limeade
lu_0488,mah-jongg,mah-j;gg
lu_0489,man-eater,man-eat}
lu_0490,pineapple,p9eapple
lu_0491,robb'd,robb'd
lu_0492,saccharine,sac*>9e
lu_0493,sea-green,sea-gre5
lu_0494,sheriff's,%}iff's
lu_0495,snuff,snuff
lu_0496,sou'east,s|'ea/
lu_0497,subbasement,subbase;t
lu_0498,theatre,!atre
lu_0499,CliffSide,",cliff,side"
lu_0500,EggHead,",egg,h1d"
lu_0501,MacEACHEN,",mac,,ea*5"
lu_0502,SeaWorld,",sea,_w"
lu_0503,TEAspoon,",,tea,'spoon"
lu_0504,deactivate,deactivate
lu_0505,geanticline,geanticl9e
lu_0506,preamble,preamble
lu_0507,reaction,reac;n
lu_0508,antinode,ant9ode
lu_0509,arena,>5a
lu_0510,been,be5
lu_0511,begin,2g9
lu_0512,be'ind,be'9d
lu_0513,benefit,b5efit
lu_0514,binary,b9>y
lu_0515,binomial,b9omial
lu_0516,Blakeney,",blak5ey"
lu_0517,Caen,",ca5"
lu_0518,casino,cas9o
lu_0519,china,*9a
lu_0520,Chopin,",*op9"
lu_0521,citizeness,citiz5ess
lu_0522,deafen,d1f5
lu_0523,denote,d5ote
lu_0524,deny,d5y
lu_0525,disingenuous,49g5u|s
lu_0526,double-entendre,d|ble-5t5dre
lu_0527,e'en,e'5
lu_0528,Einstein,",e9/e9"
lu_0529,enceinte,5ce9te
lu_0530,engine,5g9e
lu_0531,Enid,",5id"
lu_0532,enormous,5orm|s
lu_0533,equinox,equ9ox
lu_0534,faint,fa9t
lu_0535,feminine,fem99e
lu_0536,goin',go9'
lu_0537,haven't,hav5't
lu_0538,henna,h5na
lu_0539,Inc.,",9c4"
lu_0540,incline,9cl9e
lu_0541,ingot,9got
lu_0542,in's,9's
lu_0543,into,9to
lu_0544,maenad,ma5ad
lu_0545,Montenegro,",mont5egro"
lu_0546,phoenix,pho5ix
lu_0547,p(en),"p""<5"">"
lu_0548,p(in),"p""<9"">"
lu_0549,prenatal,pr5atal
lu_0550,queen,que5
lu_0551,renew,r5ew
lu_0552,self-induced,self-9duc$
lu_0553,shut-ins,%ut-9s
lu_0554,within,)9
lu_0555,to-ing,to-9g
lu_0556,Athens,",a!ns"
lu_0557,benign,2nign
lu_0558,business,busi;s
lu_0559,cringed,cr+$
lu_0560,fenced,f;ed
lu_0561,filename,"file""n"
lu_0562,forenoon,=enoon
lu_0563,Francene,",fr.ene"
lu_0564,lament,la;t
lu_0565,ménage,m~/enage
lu_0566,señor,se~}nor
lu_0567,toenail,toenail
lu_0568,Aix-en-Provence,",aix-en-,prov;e"
lu_0569,Chou En-lai,",*| ,en-lai"
lu_0570,en route,en r|te
lu_0571,"""Sudden!""","8,sudd560"
lu_0572,"""Comin'?""","8,com9'80"
lu_0573,linen…,l95444
lu_0574,bein',2in'
lu_0575,foreword,=e~w
lu_0576,misworded,mis~w$
lu_0577,sword,s~w
lu_0578,word-for-word,~w-=-~w
lu_0579,Wordsworth,",~wswor?"
lu_0580,cannot,_c
lu_0581,Germany,",g}_m"
lu_0582,many-sided,_m-sid$
lu_0583,dispirited,di_s$
lu_0584,spirits,_ss
lu_0585,spiritual,_sual
lu_0586,theirs,_!s
lu_0587,SeaWorld,",sea,_w"
lu_0588,underworld,"""u_w"
lu_0589,world-wide,_w-wide
lu_0590,worldly,_wly
lu_0591,day-by-day,"""d-by-""d"
lu_0592,Dayton,",""dton"
lu_0593,Friday,",fri""d"
lu_0594,G'day,",g'""d"
lu_0595,father-in-law,"""f-9-law"
lu_0596,fatherless,"""f.s"
lu_0597,grandfather,"gr&""f"
lu_0598,acknowledge,"ac""kl$ge"
lu_0599,knowing,"""k+"
lu_0600,Knowles,",""kles"
lu_0601,well-known,"well-""kn"
lu_0602,Gaylord,",gay""l"
lu_0603,lordosis,"""losis"
lu_0604,lordship,"""l%ip"
lu_0605,m'lord,"m'""l"
lu_0606,godmother,"god""m"
lu_0607,mother-of-pearl,"""m-(-pe>l"
lu_0608,motherly,"""mly"
lu_0609,smother,"s""m"
lu_0610,apartheid,"a""pheid"
lu_0611,Bonaparte,",bona""pe"
lu_0612,impartial,"im""pial"
lu_0613,part-time,"""p-""t"
lu_0614,partake,"""pake"
lu_0615,parterre,"""p}re"
lu_0616,party,"""py"
lu_0617,passe-partout,"passe-""p|t"
lu_0618,Spartan,",s""pan"
lu_0619,questionnaire,"""qnaire"
lu_0620,unquestionable,"un""qable"
lu_0621,affrighted,"a6""r$"
lu_0622,aright,"a""r"
lu_0623,brighten,"b""r5"
lu_0624,millwright,"millw""r"
lu_0625,right-handed,"""r-h&$"
lu_0626,righteous,"""re|s"
lu_0627,youngest,"""ye/"
lu_0628,Youngstown,",""yst{n"
lu_0629,characteristic,"""*i/ic"
lu_0630,characterise,"""*ise"
lu_0631,throughout,"""?|t"
lu_0632,elsewhere,"else"":"
lu_0633,somewhere,"""s"":"
lu_0634,whereby,""":by"
lu_0635,wherein,""":9"
lu_0636,drought,"dr""|"
lu_0637,fought,"f""|"
lu_0638,Houghton,",h""|on"
lu_0639,oughtn't,"""|n't"
lu_0640,thoughtful,"?""|;l"
lu_0641,coworker,"co""w}"
lu_0642,fireworks,"fire""ws"
lu_0643,stonework,"/""o""w"
lu_0644,unworkable,"un""wable"
lu_0645,workday,"""w""d"
lu_0646,working,"""w+"
lu_0647,Dayan,",dayan"
lu_0648,Sanday,",s&ay"
lu_0649,today,td
lu_0650,Lucknow,",luckn{"
lu_0651,chlordane,*lordane
lu_0652,chemotherapy,*emo!rapy
lu_0653,Parthenon,",p>!non"
lu_0654,where'er,:}e'}
lu_0655,wherever,":}""e"
lu_0656,Dworkin,",dwork9"
lu_0657,upon these shores,~u ~! %ores
lu_0658,Whose are those?,",~: >e ~?8"
lu_0659,hereupon,"""h~u"
lu_0660,whereupon,""":~u"
lu_0661,whosesoever,"~:so""e"
lu_0662,thereby,"""!by"
lu_0663,therefore,"""!=e"
lu_0664,therein,"""!9"
lu_0665,thereupon,"""!~u"
lu_0666,coupon,c|pon
lu_0667,Dupont,",dupont"
lu_0668,hypotheses,hypo!ses
lu_0669,Theseus,",!seus"
lu_0670,spathose,spa?ose
lu_0671,Thoseby,",?oseby"
lu_0672,bothered,bo!r$
lu_0673,ethereal,e!r1l
lu_0674,isothere,iso!re
lu_0675,smithereens,smi!re5s
lu_0676,Theresa,",!resa"
lu_0677,withered,)}$
lu_0678,Galahad,",gala_h"
lu_0679,haddock,_hdock
lu_0680,Haddon,",_hdon"
lu_0681,hadji,_hji
lu_0682,Hadley,",_hley"
lu_0683,hadn't,_hn't
lu_0684,Chad,",*ad"
lu_0685,Hades,",hades"
lu_0686,Hadrian,",hadrian"
lu_0687,menhaden,m5had5
lu_0688,shadow,%ad{
lu_0689,Thaddeus,",?addeus"
lu_0690,asseverate,"ass""eate"
lu_0691,beverage,"b""eage"
lu_0692,Everest,",""ee/"
lu_0693,everything,"""ey?+"
lu_0694,fever,"f""e"
lu_0695,irreverence,"irr""e;e"
lu_0696,nevertheless,"n""e!.s"
lu_0697,reverend,"r""e5d"
lu_0698,several,"s""eal"
lu_0699,Severn,",s""en"
lu_0700,Unilever,",unil""e"
lu_0701,believer,2liev}
lu_0702,eversion,ev}.n
lu_0703,Guinevere,",gu9ev}e"
lu_0704,McKeever,",mc,keev}"
lu_0705,Monteverdi,",montev}di"
lu_0706,persevere,p}sev}e
