id,noise_type,sim_clean_noisy,sim_clean_corrected,delta_sim,chrf_clean_noisy,chrf_clean_corrected,delta_chrf
nc_051,merged_words,0.9792,0.9792,0.0,0.9256,0.9256,0.0
nc_052,split_words,0.9796,0.9796,0.0,0.9394,0.9394,0.0
nc_053,spelling_variation,0.875,0.875,0.0,0.6741,0.6741,0.0
nc_054,dropped_function_words,0.8125,0.8125,0.0,0.7834,0.7834,0.0
nc_055,number_format_noise,0.9792,1.0,0.0208,0.9256,1.0,0.0744
nc_056,mixed_noise,0.8958,0.9167,0.0208,0.7259,0.7448,0.0188
nc_057,missing_punctuation,0.9762,1.0,0.0238,0.9796,1.0,0.0204
nc_058,merged_words,0.9524,0.9762,0.0238,0.8674,0.9274,0.06
nc_059,split_words,0.9545,0.9545,0.0,0.8607,0.8607,0.0
nc_060,spelling_variation,0.9286,0.9286,0.0,0.8013,0.8013,0.0
nc_061,dropped_function_words,0.7619,0.7619,0.0,0.7077,0.7077,0.0
nc_062,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_063,mixed_noise,0.9048,0.9048,0.0,0.7187,0.7187,0.0
nc_064,missing_punctuation,0.975,1.0,0.025,0.9785,1.0,0.0215
nc_065,merged_words,0.975,0.975,0.0,0.9092,0.9092,0.0
nc_066,split_words,0.9756,0.9756,0.0,0.9262,0.9262,0.0
nc_067,spelling_variation,0.975,0.975,0.0,0.9092,0.9092,0.0
nc_068,dropped_function_words,0.825,0.825,0.0,0.7481,0.7481,0.0
nc_069,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_070,mixed_noise,0.95,0.9756,0.0256,0.9044,0.9262,0.0218
nc_071,missing_punctuation,0.9545,0.9773,0.0227,0.8983,0.9182,0.0199
nc_072,merged_words,0.9773,1.0,0.0227,0.9182,1.0,0.0818
nc_073,split_words,0.9778,0.9778,0.0,0.9335,0.9335,0.0
nc_074,spelling_variation,0.9545,0.9545,0.0,0.8973,0.8973,0.0
nc_075,dropped_function_words,0.9091,0.9091,0.0,0.9212,0.9212,0.0
nc_076,number_format_noise,0.9545,0.9545,0.0,0.8485,0.8485,0.0
nc_077,mixed_noise,0.9318,0.9318,0.0,0.7908,0.7908,0.0
nc_078,missing_punctuation,0.9556,0.9778,0.0222,0.9008,0.9202,0.0194
nc_079,merged_words,0.9778,0.9778,0.0,0.9202,0.9202,0.0
nc_080,split_words,0.9375,0.9375,0.0,0.807,0.807,0.0
nc_081,spelling_variation,0.9556,0.9556,0.0,0.9404,0.9404,0.0
nc_082,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_083,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_084,mixed_noise,0.8667,0.8889,0.0222,0.6863,0.7596,0.0733
nc_085,missing_punctuation,0.9667,0.9677,0.0011,0.9706,0.8983,-0.0723
nc_086,merged_words,0.9667,0.9333,-0.0333,0.8747,0.7788,-0.0959
nc_087,split_words,0.9677,0.9375,-0.0302,0.937,0.8366,-0.1004
nc_088,spelling_variation,0.9333,0.8788,-0.0545,0.843,0.7376,-0.1053
nc_089,dropped_function_words,0.8,0.7667,-0.0333,0.7494,0.6506,-0.0988
nc_090,number_format_noise,1.0,0.9677,-0.0323,1.0,0.8983,-0.1017
nc_091,mixed_noise,0.7667,0.7667,0.0,0.6232,0.6506,0.0274
nc_092,missing_punctuation,0.9855,0.9855,0.0,0.9495,0.9495,0.0
nc_093,merged_words,0.971,0.9855,0.0145,0.8987,0.9495,0.0508
nc_094,split_words,0.9718,0.9718,0.0,0.9179,0.9179,0.0
nc_095,spelling_variation,0.971,0.971,0.0,0.9544,0.9544,0.0
nc_096,dropped_function_words,0.942,0.942,0.0,0.9253,0.9253,0.0
nc_097,number_format_noise,0.971,0.971,0.0,0.9373,0.9373,0.0
nc_098,mixed_noise,0.875,0.875,0.0,0.6941,0.6941,0.0
nc_099,missing_punctuation,0.9494,0.962,0.0127,0.8571,0.868,0.0109
nc_100,merged_words,0.962,0.9747,0.0127,0.868,0.9122,0.0442
nc_101,split_words,0.9634,0.9753,0.0119,0.8934,0.9288,0.0353
nc_102,spelling_variation,0.9747,0.9873,0.0127,0.9208,0.9671,0.0463
nc_103,dropped_function_words,0.9494,0.9494,0.0,0.9352,0.9352,0.0
nc_104,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_105,mixed_noise,0.8101,0.8228,0.0127,0.7014,0.7469,0.0455
nc_106,missing_punctuation,0.8226,0.8387,0.0161,0.58,0.5954,0.0154
nc_107,merged_words,0.9677,0.9677,0.0,0.8866,0.8866,0.0
nc_108,split_words,0.9538,0.9538,0.0,0.8885,0.8885,0.0
nc_109,spelling_variation,0.8871,0.873,-0.0141,0.7413,0.7415,0.0003
nc_110,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_111,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_112,mixed_noise,0.9516,0.9355,-0.0161,0.8808,0.8806,-0.0002
nc_113,missing_punctuation,0.9367,0.9494,0.0127,0.8124,0.8235,0.0111
nc_114,merged_words,0.9747,0.9873,0.0127,0.9122,0.9562,0.044
nc_115,split_words,0.9875,0.9875,0.0,0.9643,0.9643,0.0
nc_116,spelling_variation,0.9494,0.9494,0.0,0.8326,0.8326,0.0
nc_117,dropped_function_words,0.9494,0.9494,0.0,0.9352,0.9352,0.0
nc_118,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_119,mixed_noise,0.9114,0.9241,0.0127,0.7293,0.7407,0.0114
nc_120,missing_punctuation,0.9692,0.9385,-0.0308,0.8921,0.8104,-0.0817
nc_121,merged_words,0.9692,0.9385,-0.0308,0.8921,0.81,-0.0821
nc_122,split_words,0.9701,0.9559,-0.0143,0.9126,0.8693,-0.0433
nc_123,spelling_variation,0.9692,0.9538,-0.0154,0.914,0.8539,-0.0601
nc_124,dropped_function_words,0.9231,0.8923,-0.0308,0.8793,0.7965,-0.0829
nc_125,number_format_noise,1.0,0.9701,-0.0299,1.0,0.9126,-0.0874
nc_126,mixed_noise,0.9231,0.8923,-0.0308,0.8793,0.7965,-0.0829
nc_127,missing_punctuation,0.925,0.925,0.0,0.8648,0.8601,-0.0047
nc_128,merged_words,0.975,0.975,0.0,0.9374,0.9374,0.0
nc_129,split_words,0.9756,1.0,0.0244,0.9541,1.0,0.0459
nc_130,spelling_variation,0.95,0.95,0.0,0.8223,0.8223,0.0
nc_131,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_132,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_133,mixed_noise,0.875,0.9,0.025,0.6723,0.717,0.0446
nc_134,missing_punctuation,0.9688,0.9688,0.0,0.8903,0.8903,0.0
nc_135,merged_words,0.9688,0.9688,0.0,0.8988,0.8988,0.0
nc_136,split_words,0.9412,0.9412,0.0,0.84,0.84,0.0
nc_137,spelling_variation,0.9688,0.9688,0.0,0.9312,0.9312,0.0
nc_138,dropped_function_words,0.8906,0.8906,0.0,0.8498,0.8498,0.0
nc_139,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_140,mixed_noise,0.8281,0.8281,0.0,0.7707,0.7707,0.0
nc_141,missing_punctuation,0.9362,0.9574,0.0213,0.8867,0.9054,0.0187
nc_142,merged_words,0.9787,0.9787,0.0,0.9239,0.9239,0.0
nc_143,split_words,0.9792,0.9792,0.0,0.938,0.938,0.0
nc_144,spelling_variation,0.9149,0.9149,0.0,0.7478,0.7478,0.0
nc_145,dropped_function_words,0.9574,0.9574,0.0,0.9245,0.9245,0.0
nc_146,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_147,mixed_noise,0.9792,0.9792,0.0,0.938,0.938,0.0
nc_148,missing_punctuation,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_149,merged_words,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_150,split_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_151,spelling_variation,0.9623,0.9623,0.0,0.8623,0.8623,0.0
nc_152,dropped_function_words,0.9434,0.9434,0.0,0.9174,0.9174,0.0
nc_153,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_154,mixed_noise,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_155,missing_punctuation,0.9836,1.0,0.0164,0.9863,1.0,0.0137
nc_156,merged_words,0.9836,1.0,0.0164,0.9425,1.0,0.0575
nc_157,split_words,0.9839,0.9839,0.0,0.9707,0.9707,0.0
nc_158,spelling_variation,0.9672,0.9672,0.0,0.9139,0.9139,0.0
nc_159,dropped_function_words,0.8197,0.8197,0.0,0.7523,0.7523,0.0
nc_160,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_161,mixed_noise,0.9344,0.9344,0.0,0.7828,0.7828,0.0
nc_162,missing_punctuation,0.9643,0.9821,0.0179,0.9217,0.937,0.0153
nc_163,merged_words,0.9821,1.0,0.0179,0.937,1.0,0.063
nc_164,split_words,0.9825,0.9825,0.0,0.9487,0.9487,0.0
nc_165,spelling_variation,0.9464,0.9464,0.0,0.8542,0.8542,0.0
nc_166,dropped_function_words,0.9464,0.9464,0.0,0.9221,0.9221,0.0
nc_167,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_168,mixed_noise,0.9286,0.9464,0.0179,0.9067,0.9221,0.0155
nc_169,missing_punctuation,0.9767,1.0,0.0233,0.9801,1.0,0.0199
nc_170,merged_words,0.9535,0.9535,0.0,0.8315,0.8315,0.0
nc_171,split_words,0.9556,0.9556,0.0,0.8642,0.8642,0.0
nc_172,spelling_variation,0.9767,0.9767,0.0,0.9162,0.9162,0.0
nc_173,dropped_function_words,0.8605,0.8605,0.0,0.7894,0.7894,0.0
nc_174,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_175,mixed_noise,0.7209,0.7209,0.0,0.6744,0.6744,0.0
nc_176,missing_punctuation,0.92,0.92,0.0,0.8073,0.7686,-0.0387
nc_177,merged_words,0.96,0.92,-0.04,0.8701,0.7514,-0.1187
nc_178,split_words,0.9615,0.9259,-0.0356,0.899,0.7758,-0.1233
nc_179,spelling_variation,0.92,0.8846,-0.0354,0.8859,0.7616,-0.1243
nc_180,dropped_function_words,0.84,0.8,-0.04,0.7689,0.6477,-0.1212
nc_181,number_format_noise,1.0,0.9615,-0.0385,1.0,0.8747,-0.1253
nc_182,mixed_noise,0.92,0.92,0.0,0.8073,0.7686,-0.0387
nc_183,missing_punctuation,0.9787,1.0,0.0213,0.9819,1.0,0.0181
nc_184,merged_words,0.9574,0.9574,0.0,0.8471,0.8471,0.0
nc_185,split_words,0.9792,0.9792,0.0,0.9498,0.9498,0.0
nc_186,spelling_variation,0.9787,0.9787,0.0,0.9239,0.9239,0.0
nc_187,dropped_function_words,0.9574,0.9574,0.0,0.9245,0.9245,0.0
nc_188,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_189,mixed_noise,0.9792,0.9792,0.0,0.938,0.938,0.0
nc_190,missing_punctuation,0.871,0.8387,-0.0323,0.7032,0.6067,-0.0965
nc_191,merged_words,0.9677,0.9355,-0.0323,0.8793,0.7869,-0.0924
nc_192,split_words,0.9688,0.9394,-0.0294,0.9209,0.8242,-0.0967
nc_193,spelling_variation,0.9032,0.871,-0.0323,0.746,0.6492,-0.0968
nc_194,dropped_function_words,1.0,0.9688,-0.0312,1.0,0.902,-0.098
nc_195,number_format_noise,1.0,0.9688,-0.0312,1.0,0.902,-0.098
nc_196,mixed_noise,0.8438,0.8235,-0.0202,0.6765,0.5776,-0.0989
nc_197,missing_punctuation,0.9804,1.0,0.0196,0.9834,1.0,0.0166
nc_198,merged_words,0.9608,0.9608,0.0,0.8601,0.8601,0.0
nc_199,split_words,0.9808,1.0,0.0192,0.9433,1.0,0.0567
nc_200,spelling_variation,0.9804,1.0,0.0196,0.9265,1.0,0.0735
nc_201,dropped_function_words,0.7647,0.7647,0.0,0.7167,0.7167,0.0
nc_202,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_203,mixed_noise,0.9608,1.0,0.0392,0.9134,1.0,0.0866
nc_204,missing_punctuation,0.9861,1.0,0.0139,0.9884,1.0,0.0116
nc_205,merged_words,0.9722,1.0,0.0278,0.9032,1.0,0.0968
nc_206,split_words,0.96,0.9863,0.0263,0.89,0.9606,0.0707
nc_207,spelling_variation,1.0,1.0,0.0,1.0,1.0,0.0
nc_208,dropped_function_words,0.9028,0.9028,0.0,0.8927,0.8927,0.0
nc_209,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_210,mixed_noise,0.8472,0.8472,0.0,0.8438,0.8438,0.0
nc_211,missing_punctuation,0.94,0.96,0.02,0.8431,0.8608,0.0177
nc_212,merged_words,0.98,0.98,0.0,0.9288,0.9288,0.0
nc_213,split_words,0.9615,0.9804,0.0189,0.8882,0.9457,0.0575
nc_214,spelling_variation,0.94,0.98,0.04,0.839,0.9288,0.0899
nc_215,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_216,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_217,mixed_noise,0.9,0.94,0.04,0.7607,0.8502,0.0895
nc_218,missing_punctuation,0.9818,1.0,0.0182,0.9847,1.0,0.0153
nc_219,merged_words,0.9818,0.9818,0.0,0.9358,0.9358,0.0
nc_220,split_words,0.9821,0.9821,0.0,0.9477,0.9477,0.0
nc_221,spelling_variation,0.9636,0.9636,0.0,0.9192,0.9192,0.0
nc_222,dropped_function_words,0.8909,0.8909,0.0,0.8729,0.8729,0.0
nc_223,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_224,mixed_noise,0.9455,0.9455,0.0,0.8814,0.8814,0.0
nc_225,missing_punctuation,0.9841,1.0,0.0159,0.9867,1.0,0.0133
nc_226,merged_words,0.9683,0.9206,-0.0476,0.8971,0.8698,-0.0273
nc_227,split_words,0.9692,0.9692,0.0,0.9125,0.9125,0.0
nc_228,spelling_variation,0.9524,1.0,0.0476,0.8742,1.0,0.1258
nc_229,dropped_function_words,0.8254,0.8254,0.0,0.7902,0.7902,0.0
nc_230,number_format_noise,0.9683,0.9524,-0.0159,0.9309,0.9314,0.0004
nc_231,mixed_noise,0.9844,0.9844,0.0,0.9547,0.9547,0.0
nc_232,missing_punctuation,0.9825,1.0,0.0175,0.9853,1.0,0.0147
nc_233,merged_words,0.9649,0.9825,0.0175,0.8791,0.9382,0.0591
nc_234,split_words,0.9828,0.9828,0.0,0.9496,0.9496,0.0
nc_235,spelling_variation,0.9298,0.9298,0.0,0.8231,0.8231,0.0
nc_236,dropped_function_words,0.8246,0.8246,0.0,0.7821,0.7821,0.0
nc_237,number_format_noise,0.9474,0.9298,-0.0175,0.9398,0.9247,-0.0151
nc_238,mixed_noise,0.9474,0.9474,0.0,0.8285,0.8285,0.0
nc_239,missing_punctuation,0.9818,1.0,0.0182,0.9847,1.0,0.0153
nc_240,merged_words,0.9818,0.9818,0.0,0.9358,0.9358,0.0
nc_241,split_words,0.9649,1.0,0.0351,0.899,1.0,0.101
nc_242,spelling_variation,0.9636,1.0,0.0364,0.9225,1.0,0.0775
nc_243,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_244,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_245,mixed_noise,0.9818,0.9818,0.0,0.9358,0.9358,0.0
nc_246,missing_punctuation,0.9853,1.0,0.0147,0.9877,1.0,0.0123
nc_247,merged_words,0.9706,0.9853,0.0147,0.9051,0.9487,0.0436
nc_248,split_words,0.9714,1.0,0.0286,0.9167,1.0,0.0833
nc_249,spelling_variation,0.9706,0.9706,0.0,0.8972,0.8972,0.0
nc_250,dropped_function_words,0.9412,0.9412,0.0,0.9505,0.9505,0.0
nc_251,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_252,mixed_noise,0.8676,0.8382,-0.0294,0.7934,0.7907,-0.0026
nc_253,missing_punctuation,0.9828,1.0,0.0172,0.9855,1.0,0.0145
nc_254,merged_words,0.9828,1.0,0.0172,0.9393,1.0,0.0607
nc_255,split_words,0.9508,0.9667,0.0158,0.862,0.9107,0.0488
nc_256,spelling_variation,0.9828,1.0,0.0172,0.9393,1.0,0.0607
nc_257,dropped_function_words,0.8621,0.8621,0.0,0.8175,0.8175,0.0
nc_258,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_259,mixed_noise,0.8793,0.8966,0.0172,0.7832,0.8324,0.0492
nc_260,missing_punctuation,0.9524,0.9762,0.0238,0.893,0.914,0.021
nc_261,merged_words,0.9762,0.9762,0.0,0.914,0.914,0.0
nc_262,split_words,0.9767,1.0,0.0233,0.93,1.0,0.07
nc_263,spelling_variation,0.9762,1.0,0.0238,0.914,1.0,0.086
nc_264,dropped_function_words,0.8571,0.8571,0.0,0.8291,0.8291,0.0
nc_265,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_266,mixed_noise,0.881,0.9286,0.0476,0.7787,0.9112,0.1325
nc_267,missing_punctuation,0.9706,0.9853,0.0147,0.9363,0.9487,0.0125
nc_268,merged_words,0.9706,0.9706,0.0,0.8972,0.8972,0.0
nc_269,split_words,0.9855,1.0,0.0145,0.9582,1.0,0.0418
nc_270,spelling_variation,0.9265,0.9706,0.0441,0.7856,0.9073,0.1217
nc_271,dropped_function_words,0.9559,0.9559,0.0,0.9471,0.9471,0.0
nc_272,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_273,mixed_noise,0.9559,0.9412,-0.0147,0.8453,0.8952,0.05
nc_274,missing_punctuation,0.973,0.973,0.0,0.9766,0.9709,-0.0057
nc_275,merged_words,0.973,0.973,0.0,0.9011,0.9011,0.0
nc_276,split_words,0.9737,0.9737,0.0,0.9349,0.9349,0.0
nc_277,spelling_variation,1.0,1.0,0.0,1.0,1.0,0.0
nc_278,dropped_function_words,0.8919,0.8919,0.0,0.853,0.853,0.0
nc_279,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_280,mixed_noise,0.7297,0.7297,0.0,0.7206,0.7162,-0.0044
nc_281,missing_punctuation,0.9762,1.0,0.0238,0.9796,1.0,0.0204
nc_282,merged_words,0.9762,0.9762,0.0,0.914,0.914,0.0
nc_283,split_words,0.9767,0.9767,0.0,0.93,0.93,0.0
nc_284,spelling_variation,0.9524,0.9524,0.0,0.8919,0.8919,0.0
nc_285,dropped_function_words,0.8095,0.8095,0.0,0.7669,0.7669,0.0
nc_286,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_287,mixed_noise,0.8095,0.8095,0.0,0.6741,0.6741,0.0
nc_288,missing_punctuation,0.9821,1.0,0.0179,0.985,1.0,0.015
nc_289,merged_words,0.9821,0.9821,0.0,0.937,0.937,0.0
nc_290,split_words,0.9825,0.9825,0.0,0.9487,0.9487,0.0
nc_291,spelling_variation,0.9821,0.9821,0.0,0.9656,0.9656,0.0
nc_292,dropped_function_words,0.875,0.875,0.0,0.8396,0.8396,0.0
nc_293,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_294,mixed_noise,0.8929,0.8929,0.0,0.8301,0.8301,0.0
nc_295,missing_punctuation,0.9615,0.9808,0.0192,0.9152,0.9318,0.0166
nc_296,merged_words,0.9808,1.0,0.0192,0.9318,1.0,0.0682
nc_297,split_words,0.9811,0.9811,0.0,0.9444,0.9444,0.0
nc_298,spelling_variation,0.8654,0.8654,0.0,0.6802,0.6802,0.0
nc_299,dropped_function_words,1.0,1.0,0.0,1.0,1.0,0.0
nc_300,number_format_noise,0.9808,0.9808,0.0,0.9318,0.9318,0.0
nc_301,mixed_noise,0.9423,0.9615,0.0192,0.8456,0.9142,0.0686
nc_302,missing_punctuation,0.9623,0.9811,0.0189,0.9169,0.9332,0.0163
nc_303,merged_words,0.9811,0.9811,0.0,0.9332,0.9332,0.0
nc_304,split_words,0.9636,0.9815,0.0178,0.8915,0.9455,0.054
nc_305,spelling_variation,0.9811,0.9811,0.0,0.9366,0.9366,0.0
nc_306,dropped_function_words,0.9434,0.9434,0.0,0.9174,0.9174,0.0
nc_307,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_308,mixed_noise,0.8113,0.8491,0.0377,0.7401,0.8021,0.062
nc_309,missing_punctuation,0.9872,0.9872,0.0,0.9556,0.9556,0.0
nc_310,merged_words,0.9744,0.9744,0.0,0.911,0.911,0.0
nc_311,split_words,0.9873,0.9873,0.0,0.9638,0.9638,0.0
nc_312,spelling_variation,0.9872,0.9872,0.0,0.9756,0.9756,0.0
nc_313,dropped_function_words,0.8462,0.8462,0.0,0.8313,0.8313,0.0
nc_314,number_format_noise,1.0,1.0,0.0,1.0,1.0,0.0
nc_315,mixed_noise,0.9103,0.9231,0.0128,0.7761,0.7875,0.0114
